Date,Price,Open,High,Low,Vol.,Change %,Name
16-Dec-21,"47,628.20","48,876.60","49,387.80","47,543.90",48.20K,-2.54%,Bitcoin
15-Dec-21,"48,871.50","48,366.20","49,477.90","46,572.60",80.28K,1.04%,Bitcoin
14-Dec-21,"48,366.50","46,709.80","48,635.00","46,338.30",62.54K,3.56%,Bitcoin
13-Dec-21,"46,703.60","50,075.90","50,196.10","45,848.20",80.37K,-6.74%,Bitcoin
12-Dec-21,"50,081.00","49,332.50","50,779.20","48,670.50",40.30K,1.55%,Bitcoin
11-Dec-21,"49,314.50","47,138.40","49,487.00","46,834.00",45.23K,4.62%,Bitcoin
10-Dec-21,"47,137.20","47,591.70","49,974.80","47,007.10",68.06K,-0.97%,Bitcoin
9-Dec-21,"47,596.60","50,477.60","50,790.20","47,341.90",58.69K,-5.70%,Bitcoin
8-Dec-21,"50,473.90","50,596.60","51,204.70","48,700.70",55.59K,-0.24%,Bitcoin
7-Dec-21,"50,595.20","50,547.40","51,918.60","50,070.90",56.29K,0.07%,Bitcoin
6-Dec-21,"50,562.10","49,412.10","50,913.30","47,237.90",89.68K,2.34%,Bitcoin
5-Dec-21,"49,405.50","49,196.40","49,689.30","47,797.80",72.03K,0.43%,Bitcoin
4-Dec-21,"49,195.20","53,620.70","53,847.20","42,587.80",168.00K,-8.27%,Bitcoin
3-Dec-21,"53,631.50","56,495.20","57,543.60","52,008.90",89.20K,-5.07%,Bitcoin
2-Dec-21,"56,496.00","57,207.80","57,377.50","55,807.90",54.94K,-1.25%,Bitcoin
1-Dec-21,"57,210.30","56,891.70","59,064.30","56,496.50",66.75K,0.58%,Bitcoin
30-Nov-21,"56,882.90","57,795.20","59,174.40","55,936.90",73.66K,-1.58%,Bitcoin
29-Nov-21,"57,794.80","57,288.10","58,855.20","56,726.70",58.65K,0.88%,Bitcoin
28-Nov-21,"57,291.50","54,758.00","57,392.30","53,448.30",49.28K,4.61%,Bitcoin
27-Nov-21,"54,765.90","53,747.20","55,280.30","53,654.30",40.71K,1.93%,Bitcoin
26-Nov-21,"53,730.90","58,937.30","59,151.10","53,533.50",104.03K,-8.83%,Bitcoin
25-Nov-21,"58,935.10","57,167.10","59,387.30","57,029.80",56.79K,3.08%,Bitcoin
24-Nov-21,"57,171.70","57,559.40","57,697.40","55,910.60",56.68K,-0.70%,Bitcoin
23-Nov-21,"57,573.20","56,304.80","57,855.10","55,542.50",72.48K,2.25%,Bitcoin
22-Nov-21,"56,308.80","58,719.70","59,288.30","55,656.80",76.45K,-4.10%,Bitcoin
21-Nov-21,"58,714.30","59,724.00","60,002.60","58,528.30",40.98K,-1.68%,Bitcoin
20-Nov-21,"59,717.60","58,080.80","59,854.60","57,435.30",44.53K,2.81%,Bitcoin
19-Nov-21,"58,083.40","56,908.30","58,335.90","55,626.30",74.44K,1.98%,Bitcoin
18-Nov-21,"56,955.30","60,368.20","60,936.90","56,524.40",100.37K,-5.65%,Bitcoin
17-Nov-21,"60,367.80","60,074.20","60,814.50","58,531.90",73.93K,0.46%,Bitcoin
16-Nov-21,"60,089.10","63,605.10","63,605.60","58,655.90",115.36K,-5.52%,Bitcoin
15-Nov-21,"63,597.90","65,514.90","66,311.20","63,439.50",53.53K,-2.92%,Bitcoin
14-Nov-21,"65,508.20","64,397.20","65,508.20","63,608.30",33.98K,1.72%,Bitcoin
13-Nov-21,"64,398.60","64,133.30","64,906.00","63,381.40",30.34K,0.41%,Bitcoin
12-Nov-21,"64,134.50","64,782.60","65,449.70","62,309.70",63.27K,-1.04%,Bitcoin
11-Nov-21,"64,806.70","64,922.80","65,583.30","64,121.90",50.37K,-0.19%,Bitcoin
10-Nov-21,"64,932.60","66,942.60","68,990.60","62,951.30",96.21K,-2.95%,Bitcoin
9-Nov-21,"66,904.40","67,528.70","68,493.30","66,334.90",66.13K,-0.92%,Bitcoin
8-Nov-21,"67,527.90","63,276.40","67,763.30","63,276.40",81.08K,6.72%,Bitcoin
7-Nov-21,"63,273.20","61,483.80","63,273.20","61,347.20",34.34K,2.91%,Bitcoin
6-Nov-21,"61,483.90","60,973.20","61,543.20","60,093.60",34.89K,0.84%,Bitcoin
5-Nov-21,"60,974.30","61,411.50","62,560.30","60,742.40",44.46K,-0.71%,Bitcoin
4-Nov-21,"61,412.60","62,915.40","63,077.60","60,742.90",49.91K,-2.39%,Bitcoin
3-Nov-21,"62,918.50","63,223.50","63,508.60","60,883.00",61.05K,-0.48%,Bitcoin
2-Nov-21,"63,221.70","60,912.20","64,256.40","60,651.50",65.26K,3.79%,Bitcoin
1-Nov-21,"60,915.30","61,310.10","62,430.10","59,612.70",61.21K,-0.64%,Bitcoin
31-Oct-21,"61,309.60","61,842.20","62,393.70","60,005.70",50.06K,-0.86%,Bitcoin
30-Oct-21,"61,840.10","62,245.00","62,338.50","60,786.00",40.51K,-0.65%,Bitcoin
29-Oct-21,"62,242.80","60,579.90","62,952.20","60,322.20",63.39K,2.74%,Bitcoin
28-Oct-21,"60,582.50","58,437.20","62,251.30","58,128.10",88.47K,3.67%,Bitcoin
27-Oct-21,"58,438.10","60,312.50","61,452.90","58,112.60",88.11K,-3.11%,Bitcoin
26-Oct-21,"60,310.80","63,067.50","63,275.10","59,907.30",57.13K,-4.37%,Bitcoin
25-Oct-21,"63,067.00","60,864.30","63,694.80","60,655.80",51.06K,3.62%,Bitcoin
24-Oct-21,"60,866.50","61,308.20","61,469.90","59,523.70",42.67K,-0.73%,Bitcoin
23-Oct-21,"61,312.50","60,693.20","61,728.70","59,738.30",37.05K,1.03%,Bitcoin
22-Oct-21,"60,690.30","62,200.80","63,699.70","60,055.70",75.69K,-2.44%,Bitcoin
21-Oct-21,"62,210.20","66,004.60","66,616.90","62,092.10",105.38K,-5.71%,Bitcoin
20-Oct-21,"65,979.10","64,276.90","66,967.10","63,543.70",79.87K,2.65%,Bitcoin
19-Oct-21,"64,278.50","62,030.20","64,454.00","61,451.00",80.16K,3.58%,Bitcoin
18-Oct-21,"62,056.30","61,525.80","62,623.60","60,026.90",80.15K,0.86%,Bitcoin
17-Oct-21,"61,527.50","60,865.50","61,651.40","59,143.40",53.39K,1.09%,Bitcoin
16-Oct-21,"60,861.10","61,669.20","62,329.20","60,161.90",49.93K,-1.32%,Bitcoin
15-Oct-21,"61,672.50","57,348.20","62,892.80","56,874.80",121.48K,7.54%,Bitcoin
14-Oct-21,"57,345.80","57,370.40","58,506.50","56,866.80",59.84K,-0.06%,Bitcoin
13-Oct-21,"57,380.10","56,014.50","57,697.40","54,314.40",73.62K,2.44%,Bitcoin
12-Oct-21,"56,015.90","57,480.60","57,635.70","54,155.40",74.85K,-2.54%,Bitcoin
11-Oct-21,"57,477.30","54,686.90","57,814.10","54,457.80",73.84K,5.10%,Bitcoin
