Date,Price,Open,High,Low,Vol.,Change %
20-Jun-22,0.32242,0.32628,0.32861,0.31377,463.92M,-1.18%
19-Jun-22,0.32626,0.3075,0.33267,0.29839,515.68M,6.10%
18-Jun-22,0.3075,0.32092,0.32627,0.28757,717.57M,-4.18%
17-Jun-22,0.32092,0.31311,0.33948,0.31065,571.41M,2.52%
16-Jun-22,0.31304,0.3436,0.34696,0.30746,788.83M,-8.89%
15-Jun-22,0.34359,0.32173,0.34662,0.29883,1.15B,6.78%
14-Jun-22,0.32177,0.31165,0.32486,0.29388,1.06B,3.24%
13-Jun-22,0.31166,0.34322,0.34993,0.30155,1.41B,-9.18%
12-Jun-22,0.34318,0.35966,0.36513,0.33994,602.16M,-4.56%
11-Jun-22,0.35957,0.38154,0.3884,0.35634,473.87M,-5.76%
10-Jun-22,0.38155,0.40025,0.41173,0.37725,600.31M,-4.67%
9-Jun-22,0.40024,0.40055,0.404,0.39695,396.77M,-0.07%
8-Jun-22,0.4005,0.4076,0.41019,0.39511,479.64M,-1.76%
7-Jun-22,0.40767,0.40277,0.41706,0.38513,671.05M,1.22%
6-Jun-22,0.40277,0.39543,0.40919,0.39419,415.31M,1.86%
5-Jun-22,0.39542,0.39242,0.39949,0.38965,215.22M,0.76%
4-Jun-22,0.39242,0.39037,0.39389,0.38497,216.56M,0.53%
3-Jun-22,0.39037,0.40545,0.41032,0.38432,473.68M,-3.72%
2-Jun-22,0.40545,0.398,0.40705,0.39099,558.63M,1.86%
1-Jun-22,0.39802,0.42162,0.42625,0.38985,671.55M,-5.58%
31-May-22,0.42156,0.41861,0.43342,0.40694,634.00M,0.71%
30-May-22,0.41859,0.3891,0.41955,0.38699,552.42M,7.58%
29-May-22,0.3891,0.38631,0.39004,0.37945,279.30M,0.71%
28-May-22,0.38637,0.38155,0.38868,0.38068,333.92M,1.28%
27-May-22,0.38149,0.39256,0.40285,0.3766,792.88M,-2.84%
26-May-22,0.39265,0.40617,0.41088,0.37714,862.26M,-3.33%
25-May-22,0.4062,0.40859,0.41329,0.39577,584.59M,-0.58%
24-May-22,0.40858,0.40517,0.4135,0.39084,439.11M,0.86%
23-May-22,0.40509,0.4218,0.42854,0.4005,443.63M,-3.96%
22-May-22,0.4218,0.41446,0.42495,0.41044,268.32M,1.76%
21-May-22,0.41449,0.41021,0.41793,0.40368,251.00M,1.04%
20-May-22,0.41021,0.42026,0.43955,0.40176,619.25M,-2.39%
19-May-22,0.42026,0.40519,0.42394,0.392,507.82M,3.71%
18-May-22,0.40523,0.43791,0.44248,0.40472,667.12M,-7.46%
17-May-22,0.43789,0.42304,0.44021,0.41732,674.39M,3.53%
16-May-22,0.42296,0.44798,0.44798,0.40952,768.30M,-5.58%
15-May-22,0.44795,0.4261,0.44953,0.41537,485.87M,5.13%
14-May-22,0.42609,0.42282,0.44069,0.39656,808.36M,0.77%
13-May-22,0.42282,0.38487,0.46321,0.38092,1.18B,9.85%
12-May-22,0.3849,0.41579,0.4288,0.33665,2.43B,-7.41%
11-May-22,0.41569,0.51326,0.52299,0.36553,2.58B,-19.00%
10-May-22,0.51321,0.48731,0.53627,0.47336,1.51B,5.24%
9-May-22,0.48766,0.56622,0.57851,0.47514,1.35B,-13.87%
8-May-22,0.56619,0.58075,0.58286,0.55848,559.53M,-2.51%
7-May-22,0.58075,0.60218,0.6043,0.56966,410.71M,-3.56%
6-May-22,0.60218,0.59815,0.61571,0.58819,627.49M,0.69%
5-May-22,0.59809,0.64606,0.6567,0.58954,737.32M,-7.43%
4-May-22,0.64609,0.60464,0.64926,0.60422,603.13M,6.86%
3-May-22,0.60461,0.61438,0.62727,0.5962,486.44M,-1.59%
2-May-22,0.61438,0.607,0.63039,0.5986,565.44M,1.21%
1-May-22,0.60702,0.58523,0.61236,0.57763,484.63M,3.72%
30-Apr-22,0.58523,0.61153,0.62821,0.57131,572.63M,-4.30%
29-Apr-22,0.61153,0.64282,0.64692,0.601,582.82M,-4.86%
28-Apr-22,0.64279,0.65213,0.65683,0.6345,450.14M,-1.43%
27-Apr-22,0.65211,0.64231,0.66225,0.63702,496.81M,1.51%
26-Apr-22,0.64239,0.69308,0.70558,0.6291,634.35M,-7.31%
25-Apr-22,0.69308,0.69832,0.69926,0.64634,647.88M,-0.75%
24-Apr-22,0.69835,0.70549,0.71174,0.69574,229.18M,-1.01%
23-Apr-22,0.70547,0.71783,0.72631,0.7031,348.93M,-1.72%
22-Apr-22,0.71778,0.73275,0.73862,0.71488,461.04M,-2.05%
21-Apr-22,0.7328,0.75165,0.7673,0.7205,500.74M,-2.51%
20-Apr-22,0.75164,0.77478,0.77512,0.74248,493.23M,-2.99%
19-Apr-22,0.77478,0.76963,0.78145,0.75908,567.78M,0.73%
18-Apr-22,0.76917,0.75194,0.7694,0.72817,596.69M,2.30%
17-Apr-22,0.75191,0.78102,0.78582,0.7483,422.30M,-3.73%
16-Apr-22,0.78104,0.78573,0.7988,0.76616,439.79M,-0.58%
15-Apr-22,0.7856,0.72625,0.79564,0.72621,812.68M,8.17%
14-Apr-22,0.72628,0.72291,0.7406,0.70898,462.78M,0.49%
13-Apr-22,0.72276,0.71509,0.72505,0.70203,433.36M,1.14%
12-Apr-22,0.71462,0.69461,0.72506,0.69248,500.45M,2.88%
11-Apr-22,0.69458,0.75422,0.7555,0.68415,648.89M,-7.91%
10-Apr-22,0.7542,0.7622,0.77251,0.75289,234.62M,-1.05%
9-Apr-22,0.76221,0.75509,0.76627,0.75341,197.11M,0.93%
8-Apr-22,0.7552,0.78729,0.79337,0.74696,406.46M,-4.11%
7-Apr-22,0.78756,0.75958,0.79076,0.75295,372.84M,3.68%
6-Apr-22,0.75957,0.81643,0.81846,0.7586,610.29M,-6.96%
5-Apr-22,0.81643,0.82637,0.83611,0.81476,316.93M,-1.21%
4-Apr-22,0.82647,0.84305,0.84317,0.8065,399.05M,-1.97%
3-Apr-22,0.84312,0.82392,0.8498,0.81521,294.49M,2.36%
2-Apr-22,0.82369,0.82772,0.84972,0.8203,385.67M,-0.49%
1-Apr-22,0.82774,0.81495,0.8339,0.80755,472.97M,1.56%
31-Mar-22,0.81504,0.86136,0.87264,0.7982,630.62M,-5.38%
30-Mar-22,0.86135,0.85771,0.8716,0.84659,392.68M,0.42%
29-Mar-22,0.85771,0.86287,0.88545,0.84364,484.88M,-0.59%
28-Mar-22,0.86282,0.85793,0.91125,0.85351,820.30M,0.59%
27-Mar-22,0.85775,0.83286,0.85803,0.8287,346.34M,2.99%
26-Mar-22,0.83286,0.82407,0.83493,0.82067,219.77M,1.07%
25-Mar-22,0.82408,0.84265,0.84547,0.82083,385.53M,-2.22%
24-Mar-22,0.84279,0.83763,0.84964,0.82739,515.91M,0.61%
23-Mar-22,0.83765,0.8366,0.84563,0.8188,449.85M,0.13%
22-Mar-22,0.8366,0.83734,0.86489,0.828,554.92M,-0.09%
21-Mar-22,0.83736,0.80595,0.85426,0.78882,584.25M,3.88%
20-Mar-22,0.80606,0.81958,0.8217,0.79651,344.78M,-1.66%
19-Mar-22,0.8197,0.79652,0.82648,0.79181,467.54M,2.90%
18-Mar-22,0.79661,0.7937,0.80049,0.77704,362.68M,0.42%
17-Mar-22,0.79331,0.79204,0.80125,0.7833,436.90M,0.18%
16-Mar-22,0.7919,0.76586,0.79427,0.75816,560.47M,3.40%
15-Mar-22,0.76587,0.77453,0.77608,0.74218,407.33M,-1.12%
14-Mar-22,0.77455,0.75944,0.77961,0.74565,514.38M,1.99%
13-Mar-22,0.75943,0.78591,0.80471,0.7532,496.63M,-3.36%
12-Mar-22,0.78585,0.80295,0.84877,0.77881,976.91M,-2.15%
11-Mar-22,0.80312,0.73615,0.8128,0.72536,843.02M,9.11%
10-Mar-22,0.7361,0.76575,0.77842,0.72407,648.28M,-3.87%
9-Mar-22,0.76571,0.7208,0.77274,0.72021,628.03M,6.23%
8-Mar-22,0.7208,0.72011,0.73037,0.71395,480.81M,0.09%
7-Mar-22,0.72012,0.72476,0.75354,0.7041,793.88M,-0.64%
6-Mar-22,0.72473,0.75387,0.75845,0.72226,496.78M,-3.87%
5-Mar-22,0.75391,0.71276,0.76841,0.70512,573.88M,5.77%
4-Mar-22,0.71277,0.75158,0.75362,0.69756,618.13M,-5.19%
3-Mar-22,0.7518,0.76873,0.78857,0.73518,631.18M,-2.22%
2-Mar-22,0.76885,0.78388,0.78414,0.7566,711.25M,-1.91%
1-Mar-22,0.78384,0.78127,0.80324,0.75825,738.57M,0.33%
28-Feb-22,0.78127,0.72144,0.79257,0.70893,855.06M,8.29%
27-Feb-22,0.72144,0.75044,0.76674,0.7042,865.45M,-3.86%
26-Feb-22,0.75044,0.76923,0.79063,0.74079,909.28M,-2.45%
25-Feb-22,0.76926,0.69603,0.77591,0.68516,983.37M,10.53%
24-Feb-22,0.696,0.69624,0.71839,0.62253,1.84B,0.00%
23-Feb-22,0.69602,0.72101,0.74369,0.69285,868.99M,-3.49%
22-Feb-22,0.72119,0.70187,0.72636,0.67499,1.18B,2.79%
21-Feb-22,0.70162,0.77583,0.80041,0.69665,1.16B,-9.54%
20-Feb-22,0.77562,0.82174,0.82272,0.7663,968.87M,-5.60%
19-Feb-22,0.8216,0.78467,0.85354,0.77057,940.73M,4.71%
18-Feb-22,0.78468,0.76736,0.80446,0.75677,815.44M,2.34%
17-Feb-22,0.76677,0.83689,0.84449,0.75487,748.40M,-8.26%
16-Feb-22,0.83582,0.85099,0.8525,0.80911,520.13M,-1.76%
15-Feb-22,0.85083,0.8008,0.85886,0.79627,555.15M,6.25%
14-Feb-22,0.80077,0.80562,0.81193,0.78027,622.89M,-0.58%
13-Feb-22,0.80545,0.82203,0.84651,0.79278,699.44M,-1.98%
12-Feb-22,0.82171,0.75907,0.85036,0.74725,934.29M,8.27%
11-Feb-22,0.75896,0.82537,0.83309,0.7502,923.55M,-8.06%
10-Feb-22,0.82551,0.86957,0.89553,0.82379,961.48M,-5.09%
9-Feb-22,0.8698,0.87623,0.91255,0.8443,1.17B,-0.73%
8-Feb-22,0.87618,0.83146,0.91257,0.8037,1.92B,5.42%
7-Feb-22,0.83116,0.68268,0.83817,0.67173,1.20B,21.74%
6-Feb-22,0.68271,0.66618,0.68661,0.6605,311.39M,2.48%
