Price,Day,Day1
126.7,Saturday,6
125.8,Friday,5
134.6,Thursday,4
140.1,Wednesday,3
133.5,Tuesday,2
137.1,Monday,1
127.6,Sunday,0
121.8,Saturday,6
121.3,Friday,5
110.9,Thursday,4
108.3,Wednesday,3
115.1,Tuesday,2
109.4,Monday,1
108.6,Sunday,0
110.8,Saturday,6
109.5,Friday,5
107.0,Thursday,4
106.8,Wednesday,3
107.9,Tuesday,2
109.5,Monday,1
112.3,Sunday,0
108.3,Saturday,6
114.7,Friday,5
129.8,Thursday,4
136.2,Wednesday,3
141.4,Tuesday,2
151.1,Monday,1
146.4,Sunday,0
147.7,Saturday,6
144.7,Friday,5
136.5,Thursday,4
141.9,Wednesday,3
131.5,Tuesday,2
126.5,Monday,1
130.8,Sunday,0
129.4,Saturday,6
131.2,Friday,5
136.1,Thursday,4
135.1,Wednesday,3
146.6,Tuesday,2
148.4,Monday,1
151.2,Sunday,0
150.8,Saturday,6
146.3,Friday,5
148.1,Thursday,4
145.4,Wednesday,3
145.7,Tuesday,2
155.9,Monday,1
155.8,Sunday,0
157.7,Saturday,6
161.0,Friday,5
163.5,Thursday,4
155.4,Wednesday,3
154.8,Tuesday,2
152.6,Monday,1
153.3,Sunday,0
148.7,Saturday,6
144.1,Friday,5
148.9,Thursday,4
153.5,Wednesday,3
150.6,Tuesday,2
144.5,Monday,1
159.1,Sunday,0
157.6,Saturday,6
148.4,Friday,5
151.5,Thursday,4
165.0,Wednesday,3
161.9,Tuesday,2
161.6,Monday,1
156.2,Sunday,0
162.9,Saturday,6
188.0,Friday,5
203.5,Thursday,4
208.8,Wednesday,3
208.1,Tuesday,2
205.5,Monday,1
199.6,Sunday,0
195.2,Saturday,6
195.1,Friday,5
222.7,Thursday,4
212.2,Wednesday,3
216.4,Tuesday,2
209.1,Monday,1
221.9,Sunday,0
226.8,Saturday,6
217.9,Friday,5
204.7,Thursday,4
229.8,Wednesday,3
230.2,Tuesday,2
262.7,Monday,1
279.4,Sunday,0
257.7,Saturday,6
251.4,Friday,5
262.5,Thursday,4
260.5,Wednesday,3
262.2,Tuesday,2
228.9,Monday,1
201.9,Sunday,0
197.6,Saturday,6
200.279,Friday,5
202.746,Thursday,4
206.654,Wednesday,3
200.414,Tuesday,2
197.278,Monday,1
191.743,Sunday,0
189.552,Saturday,6
196.498,Friday,5
190.319,Thursday,4
179.685,Wednesday,3
197.53,Tuesday,2
195.421,Monday,1
190.441,Sunday,0
196.35,Saturday,6
190.93,Friday,5
196.741,Thursday,4
207.312,Wednesday,3
188.75,Tuesday,2
185.55,Monday,1
183.73,Sunday,0
185.641,Saturday,6
189.746,Friday,5
181.115,Thursday,4
177.53,Wednesday,3
172.629,Tuesday,2
179.26,Monday,1
174.84,Sunday,0
179.81,Saturday,6
175.751,Friday,5
178.46,Thursday,4
178.438,Wednesday,3
173.731,Tuesday,2
167.639,Monday,1
170.499,Sunday,0
169.04,Saturday,6
166.13,Friday,5
153.33,Thursday,4
144.85,Wednesday,3
140.629,Tuesday,2
145.05,Monday,1
150.849,Sunday,0
150.94,Saturday,6
152.021,Friday,5
