Date,Price,Open,High,Low,Vol.,Change %
24-Feb-22,104.2,105.4,107.6,91.7,1.29M,-1.14%
23-Feb-22,105.4,107.4,111.3,105,432.36K,-1.86%
22-Feb-22,107.4,102.8,107.7,100.4,537.43K,4.37%
21-Feb-22,102.9,110.6,114.5,102.2,631.11K,-6.96%
20-Feb-22,110.6,115.6,115.8,108.6,468.29K,-4.33%
19-Feb-22,115.6,114.9,117.1,113,361.82K,0.61%
18-Feb-22,114.9,116.3,122.4,114.3,686.76K,-1.20%
17-Feb-22,116.3,127.6,129,115.1,536.01K,-8.86%
16-Feb-22,127.6,131.7,131.7,125.6,325.28K,-3.11%
15-Feb-22,131.7,124.5,132.4,123.9,371.69K,5.78%
14-Feb-22,124.5,125.6,126.7,121.5,311.51K,-0.88%
13-Feb-22,125.6,126.7,128.8,123.5,261.89K,-0.87%
12-Feb-22,126.7,125.8,127.6,121,328.69K,0.72%
11-Feb-22,125.8,134.6,134.7,124.9,536.48K,-6.54%
10-Feb-22,134.6,140.1,143.8,134.3,722.90K,-3.93%
9-Feb-22,140.1,133.5,140.9,132.1,615.65K,4.94%
8-Feb-22,133.5,137.1,142.8,130.5,974.50K,-2.63%
7-Feb-22,137.1,127.6,139.8,125.1,693.51K,7.45%
6-Feb-22,127.6,121.8,127.9,120.9,415.09K,4.76%
5-Feb-22,121.8,121.3,123.8,118.9,443.14K,0.41%
4-Feb-22,121.3,110.9,121.3,108.7,649.31K,9.38%
3-Feb-22,110.9,108.3,110.9,105.5,380.78K,2.40%
2-Feb-22,108.3,115.1,116,107.5,512.24K,-5.91%
1-Feb-22,115.1,109.4,116.8,108.3,597.61K,5.21%
31-Jan-22,109.4,108.6,111.2,104.4,447.70K,0.74%
30-Jan-22,108.6,110.9,112.1,107,276.44K,-1.99%
29-Jan-22,110.8,109.5,111.9,107.8,345.62K,1.19%
28-Jan-22,109.5,107,110,105.4,465.25K,2.34%
27-Jan-22,107,107,109.5,102.9,563.93K,0.19%
26-Jan-22,106.8,107.9,116.5,104.7,774.92K,-1.02%
25-Jan-22,107.9,109.5,109.8,105.4,589.31K,-1.46%
24-Jan-22,109.5,112.3,112.3,97.9,1.10M,-2.49%
23-Jan-22,112.3,108.3,112.6,105.7,588.08K,3.69%
22-Jan-22,108.3,114.7,116.9,96.6,1.35M,-5.58%
21-Jan-22,114.7,129.8,131,110.7,1.02M,-11.63%
20-Jan-22,129.8,136.2,142.9,129,404.75K,-4.70%
19-Jan-22,136.2,141.4,143,133.2,437.53K,-3.68%
18-Jan-22,141.4,151.1,153.2,138.8,605.40K,-6.42%
17-Jan-22,151.1,146.4,153.5,144.2,809.01K,3.21%
16-Jan-22,146.4,147.7,148.9,143.3,323.95K,-0.88%
