Price,Day
4107.69,Thursday
4435.74,Wednesday
4307.08,Tuesday
4353.31,Monday
4194.8,Sunday
4123.46,Saturday
4219.3,Friday
4512.9,Thursday
4583.28,Wednesday
4628.9,Tuesday
4443.22,Monday
4296.98,Sunday
4094.8,Saturday
4034.53,Friday
4520.3,Thursday
4273.54,Wednesday
4340.23,Tuesday
4086.95,Monday
4268.08,Sunday
4408.85,Saturday
4295.43,Friday
4001.87,Thursday
4290.88,Wednesday
4208.16,Tuesday
4562.98,Monday
4625.59,Sunday
4644.61,Saturday
4667.31,Friday
4720.87,Thursday
4634.03,Wednesday
4731.83,Tuesday
4808.38,Monday
4612.06,Sunday
4517.36,Saturday
4475.0,Friday
4535.11,Thursday
4602.21,Wednesday
4586.06,Tuesday
4320.85,Monday
4287.56,Sunday
4320.65,Saturday
4413.7,Friday
4284.9,Thursday
3921.93,Wednesday
4129.51,Tuesday
4219.92,Monday
4082.8,Sunday
4168.85,Saturday
3970.94,Friday
4054.16,Thursday
4159.89,Wednesday
3876.78,Tuesday
3747.6,Monday
3845.47,Sunday
3827.55,Saturday
3866.9,Friday
3790.41,Thursday
3607.28,Wednesday
3489.9,Tuesday
3545.06,Monday
3415.03,Sunday
3574.2,Saturday
3559.42,Friday
3586.0,Thursday
3575.41,Wednesday
3517.26,Tuesday
3382.9,Monday
3417.34,Sunday
3388.97,Saturday
3309.13,Friday
3000.59,Thursday
2851.5,Wednesday
2807.28,Tuesday
2926.24,Monday
3063.51,Sunday
2922.55,Saturday
2928.57,Friday
3152.92,Thursday
3077.78,Wednesday
2761.52,Tuesday
2976.05,Monday
3329.12,Sunday
3435.97,Saturday
3398.65,Friday
3569.43,Thursday
3611.9,Wednesday
3428.87,Tuesday
3284.52,Monday
3408.28,Sunday
3267.33,Saturday
3207.27,Friday
3423.51,Thursday
3495.1,Wednesday
3423.12,Tuesday
3927.21,Monday
3950.62,Sunday
3884.97,Saturday
3936.29,Friday
3786.19,Thursday
3832.73,Wednesday
3430.74,Tuesday
3225.67,Monday
3222.16,Sunday
3243.9,Saturday
3273.58,Friday
3093.54,Thursday
3228.15,Wednesday
3173.26,Tuesday
3319.49,Monday
3238.7,Sunday
3223.96,Saturday
3284.21,Friday
3184.82,Thursday
3016.91,Wednesday
3014.58,Tuesday
3147.65,Monday
3308.87,Sunday
3264.69,Saturday
3322.43,Friday
3043.61,Thursday
3163.66,Wednesday
3140.71,Tuesday
3162.93,Monday
3012.07,Sunday
3158.0,Saturday
2889.43,Friday
2827.21,Thursday
2725.29,Wednesday
2506.65,Tuesday
2608.04,Monday
2556.23,Sunday
2532.19,Saturday
2460.95,Friday
2380.93,Thursday
2299.11,Wednesday
2300.22,Tuesday
2229.53,Monday
2189.79,Sunday
2151.85,Saturday
2123.61,Friday
2024.58,Thursday
1994.49,Wednesday
1786.07,Tuesday
1818.07,Monday
1892.42,Sunday
1897.98,Saturday
1878.2,Friday
1917.21,Thursday
1994.64,Wednesday
1940.72,Tuesday
2035.09,Monday
2139.35,Sunday
2111.12,Saturday
2145.89,Friday
2120.22,Thursday
2316.57,Wednesday
2322.72,Tuesday
2196.16,Monday
2323.22,Sunday
2224.7,Saturday
2154.78,Friday
2109.11,Thursday
2273.84,Wednesday
2158.71,Tuesday
2083.09,Monday
1979.88,Sunday
1830.62,Saturday
1810.57,Friday
1989.14,Thursday
1968.39,Wednesday
1876.66,Tuesday
1891.18,Monday
2243.86,Sunday
2166.91,Saturday
2229.53,Friday
2371.62,Thursday
2367.28,Wednesday
2543.83,Tuesday
2581.48,Monday
2508.27,Sunday
2368.47,Saturday
2351.45,Friday
2469.97,Thursday
2606.23,Wednesday
2510.65,Tuesday
2592.63,Monday
2713.66,Sunday
2628.98,Saturday
2686.5,Friday
2853.35,Thursday
2706.1,Wednesday
2633.67,Tuesday
2708.47,Monday
2386.1,Sunday
2276.07,Saturday
2414.29,Friday
2735.88,Thursday
2884.66,Wednesday
2705.09,Tuesday
2646.79,Monday
2101.34,Sunday
2291.6,Saturday
2433.11,Friday
2777.55,Thursday
2435.69,Wednesday
3377.55,Tuesday
3279.68,Monday
3582.12,Sunday
3641.65,Saturday
4075.38,Friday
3719.62,Thursday
3811.77,Wednesday
4167.78,Tuesday
3947.9,Monday
3922.23,Sunday
3905.55,Saturday
3481.22,Friday
3489.52,Thursday
3522.76,Wednesday
3286.71,Tuesday
3429.37,Monday
2950.33,Sunday
2944.66,Saturday
2772.78,Friday
2757.36,Thursday
2746.54,Wednesday
2665.24,Tuesday
2533.12,Monday
2316.48,Sunday
2215.93,Saturday
2367.31,Friday
2401.1,Thursday
2360.81,Wednesday
2332.14,Tuesday
2160.63,Monday
2237.17,Sunday
2318.33,Saturday
2423.18,Friday
2514.22,Thursday
2431.56,Wednesday
2299.93,Tuesday
2137.81,Monday
2151.42,Sunday
2133.79,Saturday
2066.93,Friday
2079.92,Thursday
1961.46,Wednesday
2111.53,Tuesday
2106.41,Monday
2075.94,Sunday
2008.59,Saturday
2134.55,Friday
1967.96,Thursday
1917.99,Wednesday
1841.01,Tuesday
1816.69,Monday
1686.8,Sunday
1713.01,Saturday
1698.6,Friday
1586.54,Thursday
1582.38,Wednesday
1667.9,Tuesday
1682.37,Monday
1783.72,Sunday
1804.6,Saturday
1809.64,Friday
1776.08,Thursday
1823.35,Wednesday
1804.85,Tuesday
1792.38,Monday
1849.06,Sunday
1921.13,Saturday
1766.9,Friday
1825.79,Thursday
1794.14,Wednesday
1869.1,Tuesday
1831.49,Monday
1728.1,Sunday
1649.19,Saturday
1530.29,Friday
1538.61,Thursday
1571.05,Wednesday
1488.62,Tuesday
1570.03,Monday
1418.76,Sunday
1458.93,Saturday
1445.44,Friday
1476.15,Thursday
1623.71,Wednesday
1578.11,Tuesday
1777.28,Monday
1933.45,Sunday
1913.88,Saturday
1955.59,Friday
1934.16,Thursday
1847.95,Wednesday
1781.69,Tuesday
1778.82,Monday
1801.78,Sunday
1815.49,Saturday
1841.02,Friday
1786.35,Thursday
1742.09,Wednesday
1770.63,Tuesday
1750.18,Monday
1612.99,Sunday
1676.63,Saturday
1719.2,Friday
1594.0,Thursday
1664.34,Wednesday
1511.36,Tuesday
1373.4,Monday
1312.73,Sunday
1376.96,Saturday
1379.3,Friday
1328.47,Thursday
1247.62,Wednesday
1366.27,Tuesday
1317.9,Monday
1390.28,Sunday
1233.4,Saturday
1234.58,Friday
1117.33,Thursday
1377.53,Wednesday
1372.0,Tuesday
1258.06,Monday
1232.64,Sunday
1228.27,Saturday
1171.68,Friday
1226.17,Thursday
