Price,Day
58714.3,Sunday
59717.6,Saturday
58083.4,Friday
56955.3,Thursday
60367.8,Wednesday
60089.1,Tuesday
63597.9,Monday
65508.2,Sunday
64398.6,Saturday
64134.5,Friday
64806.7,Thursday
64932.6,Wednesday
66904.4,Tuesday
67527.9,Monday
63273.2,Sunday
61483.9,Saturday
60974.3,Friday
61412.6,Thursday
62918.5,Wednesday
63221.7,Tuesday
60915.3,Monday
61309.6,Sunday
61840.1,Saturday
62242.8,Friday
60582.5,Thursday
58438.1,Wednesday
60310.8,Tuesday
63067.0,Monday
60866.5,Sunday
61312.5,Saturday
60690.3,Friday
62210.2,Thursday
65979.1,Wednesday
64278.5,Tuesday
62056.3,Monday
61527.5,Sunday
60861.1,Saturday
61672.5,Friday
57345.8,Thursday
57380.1,Wednesday
56015.9,Tuesday
57477.3,Monday
54687.7,Sunday
54942.5,Saturday
53914.7,Friday
53783.9,Thursday
55323.2,Wednesday
51469.3,Tuesday
49227.3,Monday
48200.1,Sunday
47666.9,Saturday
48146.0,Friday
43823.3,Thursday
41536.8,Wednesday
41022.3,Tuesday
42172.6,Monday
43203.4,Sunday
42686.8,Saturday
42819.9,Friday
44869.2,Thursday
43551.6,Wednesday
40651.3,Tuesday
42870.6,Monday
47238.7,Sunday
48306.7,Saturday
47282.8,Friday
47748.0,Thursday
48130.6,Wednesday
47077.5,Tuesday
44949.5,Monday
46062.3,Sunday
45161.9,Saturday
44842.8,Friday
46385.6,Thursday
46061.4,Wednesday
46779.6,Tuesday
52672.1,Monday
51768.6,Sunday
49918.4,Saturday
49999.0,Friday
49274.3,Thursday
48819.4,Wednesday
47130.4,Tuesday
46992.7,Monday
48777.4,Sunday
48897.1,Saturday
49064.3,Friday
46831.6,Thursday
48994.5,Wednesday
47714.7,Tuesday
49539.7,Monday
49254.5,Sunday
48875.8,Saturday
49324.0,Friday
46755.9,Thursday
44723.8,Wednesday
44691.6,Tuesday
45996.3,Monday
46991.3,Sunday
47081.5,Saturday
47809.1,Friday
44403.4,Thursday
45564.3,Wednesday
45593.8,Tuesday
46284.3,Monday
43792.8,Sunday
44614.2,Saturday
42795.4,Friday
40867.2,Thursday
39736.9,Wednesday
38130.3,Tuesday
39168.4,Monday
39878.3,Sunday
41553.7,Saturday
42203.4,Friday
40001.4,Thursday
40003.2,Wednesday
39452.0,Tuesday
37276.6,Monday
35391.1,Sunday
33824.8,Saturday
33603.3,Friday
32298.9,Thursday
32131.4,Wednesday
29793.8,Tuesday
30837.2,Monday
31785.4,Sunday
31518.6,Saturday
31394.0,Friday
31840.5,Thursday
32820.7,Wednesday
32728.1,Tuesday
33113.0,Monday
34227.7,Sunday
33510.6,Saturday
33797.4,Friday
32866.3,Thursday
33867.8,Wednesday
34225.6,Tuesday
33687.8,Monday
35298.2,Sunday
34742.8,Saturday
33813.4,Friday
33543.6,Thursday
35026.9,Wednesday
35834.7,Tuesday
34475.9,Monday
34678.5,Sunday
32243.4,Saturday
31594.0,Friday
34665.8,Thursday
33674.3,Wednesday
32496.4,Tuesday
31692.0,Monday
35595.8,Sunday
35513.4,Saturday
35749.4,Friday
38052.0,Thursday
38336.0,Wednesday
40156.1,Tuesday
40529.4,Monday
39022.9,Sunday
35467.5,Saturday
37314.6,Friday
36649.4,Thursday
37332.2,Wednesday
33382.9,Tuesday
33578.0,Monday
35815.4,Sunday
35520.0,Saturday
36851.3,Friday
39187.3,Thursday
37555.8,Wednesday
36687.6,Tuesday
37298.6,Monday
35652.8,Sunday
34584.6,Saturday
35662.5,Friday
38417.3,Thursday
39249.2,Wednesday
38378.3,Tuesday
38750.6,Monday
34679.7,Sunday
37448.3,Saturday
37297.4,Friday
40717.2,Thursday
36720.5,Wednesday
42897.3,Tuesday
43541.3,Monday
46426.4,Sunday
46708.8,Saturday
49839.8,Friday
49704.6,Thursday
49384.2,Wednesday
56695.7,Tuesday
55848.9,Monday
58238.3,Sunday
58840.1,Saturday
57337.2,Friday
56405.4,Thursday
57441.3,Wednesday
53741.5,Tuesday
57169.8,Monday
56603.8,Sunday
57807.1,Saturday
57720.3,Friday
53560.8,Thursday
54841.4,Wednesday
55036.5,Tuesday
54020.5,Monday
48963.6,Sunday
50088.9,Saturday
51143.6,Friday
51729.5,Thursday
53820.2,Wednesday
56483.2,Tuesday
55646.1,Monday
56207.1,Sunday
60041.9,Saturday
61379.7,Friday
63216.0,Thursday
62980.4,Wednesday
63540.9,Tuesday
59863.8,Monday
59978.7,Sunday
59748.4,Saturday
58118.7,Friday
58077.4,Thursday
55948.7,Wednesday
57996.3,Tuesday
58993.4,Monday
58199.9,Sunday
57059.9,Saturday
58977.3,Friday
58718.3,Thursday
58763.7,Wednesday
58771.3,Tuesday
57616.2,Monday
55765.2,Sunday
55862.9,Saturday
